,page_url,image_url,movie_title,description
0,https://metarankings.ru/terminator-2-sudnyj-den-2017/,https://metarankings.ru/images/uploads/Terminator-2-Judgment-Day-2017-cover.jpg,Терминатор 2: Судный день в 3D,"Фильм «Терминатор 2: Судный день» в 3D (2017) — это обновленная версия с помощью новейших технологий кинопроизводства легендарной ленты на все времена. Новейшие 3D-технологии от команды, которая работала над «Аватаром», и революционные спецэффекты.
Неуязвимый киборг нового поколения прибывает в наше время с миссией убить молодого Джона Коннора, будущего лидера сопротивления, которому суждено окончить войну людей и машин. Но на защиту Джона успевают отправить перепрограммированного терминатора Т-800. Теперь будущее всего человечества зависит от исхода схватки, разворачивающейся в наши дни.
Прошло более десяти лет с тех пор, как киборг-терминатор из 2029 года пытался уничтожить Сару Коннор — женщину, чей будущий сын выиграет войну человечества против машин."
1,https://metarankings.ru/gran-budushhego/,https://metarankings.ru/images/uploads/edge-of-tomorrow.png,Грань будущего,"Фильм «Грань будущего» переносит в недалёкое будущее и рассказывает, как раса пришельцев из космоса вторгается на Землю. Никакая армия в мире не может остановить их. Майор Уильям Кейдж умирает в бою, но случается невозможное — он оказывается во временной петле. Он вынужден раз за разом проживать свой последний день в бою, через это оттачивая свои боевые навыки."
2,https://metarankings.ru/bezumnyj-maks-doroga-yarosti/,https://metarankings.ru/images/uploads/Mad-Max-Fury-Road-cover.jpg,Безумный Макс: Дорога ярости,"Фильм «Безумный Макс: Дорога ярости» — это постапокалиптическая лента от режиссёра Джорджа Миллера, являющаяся уже четвёртой в серии о Максе Рокатански, роль которого исполнит британский актёр Том Харди. Дорога ярости — это продолжение франшизы за последние почти 30 лет существования франшизы, который служит мостиком между событиями первого и второго фильма.
Вскоре после отмщения за смерть своей семьи — жены и сына, Макс Рокатански покинул ряды «Основного силового патруля» и уехал в пустынную глушь, где начал скитается в одиночестве, пока мир медленно катится в пропасть в последствии сильнейшего нефтяного кризиса и глобальной войны за последние месторождения этой самой нефти. Не имея ничего, кроме своей машины именующейся «Перехватчик», ему предстоит научиться выживать в пост-апокалиптической пустоши и сражаться с жестокими, безжалостными бандами, которые населяют её."
3,https://metarankings.ru/interstellar/,https://metarankings.ru/images/uploads/2014/11/interstellar-cover-art_2.jpg,Интерстеллар,"Фильм «Интерстеллар» повествует о путешествиях группы исследователей, которые используют для этих целей недавно обнаруженный пространственно-временной тоннель, чтобы обойти ограничения полета человека в космическом пространстве и покорить огромные расстояния на межзвездном корабле.
Главные роли фильма сыграли оскароносные Мэттью МакКонахи и Энн Хэтэуэй."
4,https://metarankings.ru/vyzhivshij-2016/,https://metarankings.ru/images/uploads/The-Revenant-cover.jpg,Выживший,"Выживший — это новая историческая драма с Леонардо ДиКаприо в главной роли. Фильм основан на реальных событиях.
Охотник Хью Гласс очень серьезно ранен на неизведанных просторах американского Дикого Запада. Товарищ Хью по отряду покорителей новых земель Джон Фицжеральд предательски оставляет его умирать в полном одиночестве и без какой-либо возможности на спасение. Теперь у Гласса осталось только одно оружие — его сила воли и желание выжить. Он готов бросить вызов первобытной природе, суровой зиме и враждебным племенам индейцев, только чтобы выжить и отомстить «товарищу» Фицжеральду."
5,https://metarankings.ru/oderzhimost-2014/,https://metarankings.ru/images/uploads/Whiplash-cover.png,Одержимость,"«Одержимость» рассказывает о парне по имени Эндрю, который очень хочет стать великим музыкантом. Казалось бы, вот-вот его мечта станет реальностью. Парня замечает настоящий гений музыкальной индустрии, дирижер культового оркестра. Желание Эндрю добиться большого успеха на этом поприще быстро становится настоящей одержимостью, а безжалостный и порой злой наставник продолжает подталкивать его все дальше и дальше — за пределы каких-либо человеческих возможностей. Кто из них сможет выйти победителем в этой схватки?"
6,https://metarankings.ru/gravity/,https://metarankings.ru/images/uploads/Gravity-cover.png,Гравитация,"«Гравитация» — это фильм о выживании, действия которого развиваются в открытом космосе. Он удостоился 7-ми наград премии Оскар в номинациях: режиссера, работы оператора, звука, монтажа, монтажа звука, визуальных эффектов и саундтрека.
Сюжет рассказывает о Докторе Райане Стоуне, блестящим специалисте в области медицинского инжиниринга, которая отправляется в свою первую космическую миссию под командованием ветерана астронавтики Мэтта Ковальски, для которого этот полет — последний перед его отставкой. Но во время, казалось бы, рутинной работы — случается страшная катастрофа.
Шаттл уничтожен на котором они должны были вернуться на Землю — уничтожен, а Стоун и Ковальски остаются совершенно одни в бескрайнем космосе…"
7,https://metarankings.ru/kingsman-sekretnaya-sluzhba/,https://metarankings.ru/images/uploads/Kingsman-The-Secret-Service-cover.jpg,Kingsman: Секретная служба,"Фильм «Kingsman: Секретная служба» основанный на некогда популярном комиксе. Он расскажет о секретной шпионской организации. Представитель этой самой организации по имени Джек, агент, берёт под своё крыло племянника Гарри, дерзкого уличного хулигана, который никогда не работал, собираясь обучить его своему мастерству и отправить служить во имя служения Британии. Теперь парню предстоит пройти супер программу подготовки, чтобы отразить удар злого техногения."
8,https://metarankings.ru/amerikanskoe-chtivo-2023/,https://metarankings.ru/images/uploads/2023/09/amerikanskoe-chtivo-cover-art.jpg,Американское чтиво,"Фильм «Американское чтиво» рассказывает историю Монка, разочарованного романиста, которому надоело, что истеблишмент наживается на «черных» развлечениях. Чтобы доказать свою правоту, он берет псевдоним и пишет собственную необычную «черную» книгу, которая приводит его в самое сердце лицемерия и безумия, которое он презирает."
9,https://metarankings.ru/pervyj-mstitel-protivostoyanie/,https://metarankings.ru/images/uploads/Captain-America-Civil-War.jpg,Первый мститель: Противостояние,"Фильм «Первый мститель: Противостояние» — Разделившись мы падаем! Капитан Америка против Железного Человека!
Действие «Противостояние» начинается там, где заканчиваются события «Мстители: Эра Альтрона». Мстители под руководством Капитана Америки оказываются участниками одного катастрофического инцидента, имеющего международный масштаб. Эти события заставляют правительство задуматься над тем, чтобы начать регулировать действия всех людей с особыми способностями, введя «Акт о регистрации супергероев», вынуждая их раскрыть свои личности и работать на правительственные службы.
Видя в этом законе нарушение гражданских прав и плевок во всё, что он верит, Стив Роджерс открыто восстаёт против нового режима, ведя за собой группу героев, поддерживающих его мнение. В свою же очередь, Тони Старк видит правильность в новом законе, и становится во главе героев, поддерживающих его. Всё это приводит к неизбежному расколу Мстителей, и гражданской войне между двумя сторонами. Сражаясь друг с другом, Старк и Роджерс не знают о том, что таинственный Барон Земо уже строит свои собственные планы, воспользовавшись расколом величайших героев Земли."
